year,name,artists,album,popularity,release_date
2006,Pullin' Me Back,"Chingy, Tyrese",Hoodstar (Deluxe Edition),67,2006-01-01
2006,What Hurts The Most,Rascal Flatts,Me And My Gang,41,2006-01-01
2006,Squeegee (Remastered),Donny Richmond,Squeegee (Remastered),1,2021-03-11
2006,"Jesus, Take the Wheel",Carrie Underwood,Some Hearts,65,2005-11-14
2006,Far Away,Nickelback,All the Right Reasons (Walmart Exclusive Edition),48,2005-09-26
2006,Do It To It,"Cherish, Sean Paul",Unappreciated,67,2006-01-01
2006,I'm Alive,$mr. Face$ A.K.A. David Nolan,I'm Alive,0,2020-11-30
2006,When You're Mad,Ne-Yo,In My Own Words,60,2006-01-01
2006,Photograph,Nickelback,All the Right Reasons (Walmart Exclusive Edition),51,2005-09-26
2006,Beep,"The Pussycat Dolls, will.i.am",PCD (Revised International Version),0,2005-01-01
2006,Hung Up,Madonna,Celebration (double disc version),53,2009-09-18
2006,London Bridge,Fergie,The Dutchess Deluxe,0,2007-01-01
2006,Get Up (feat. Chamillionaire),"Ciara, Chamillionaire",Step Up Soundtrack,52,2006-08-08
2006,Soon,Howard Clarke,Howard Clarke All the Hits,2,2021-02-16
2006,There It Go (The Whistle Song),Juelz Santana,What The Game's Been Missing!,0,2005-01-01
2006,Unpredictable (feat. Ludacris) - Main,"Jamie Foxx, Ludacris",Unpredictable,55,2005-12-20
2006,Stay Fly,Three 6 Mafia,Stay Fly (4 Pack) (feat. Young Buck & 8Ball & MJG),52,2005-07-05
2006,Hearts Bleed Fire,Jon Omen,Hearts Bleed Fire,0,2021-02-20
2006,Savin' Me,Nickelback,All the Right Reasons (Walmart Exclusive Edition),44,2005-09-26
2006,So What,"Field Mob, Ciara",Light Poles And Pine Trees,60,2006-01-01
2006,Money Maker,"Ludacris, Pharrell Williams",Release Therapy,0,2006-01-01
2006,Pump It,Black Eyed Peas,Pump It,45,2005-01-01
2006,Sexy Love,Ne-Yo,Because Of You (int'l ECD Maxi),0,2007-01-01
2006,So Sick,Ne-Yo,So Sick,39,2006-01-01
2006,No More Goodbyes,Adele & Andy,Where I Belong,2,2021-02-26
2006,What's Left Of Me,Nick Lachey,What's Left Of Me (Main Version),31,2006-02-21
2006,My Love - Single Version,"Justin Timberlake, T.I.",My Love,0,2006-10-24
2006,"I Know You See It (feat. Brandy ""Ms. B"" Hambrick)","Yung Joc, Brandy ""Ms. B"" Hambrick",New Joc City,60,2006-06-06
2006,You Can't Make Someone Love You,T J Miller,Living the Dream,0,2020-05-01
2006,Check On It (feat. Slim Thug),"Beyoncé, Slim Thug",Check On It (feat. Slim Thug),45,2006-01-14
2007,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,85,2006-09-12
2007,I Wanna Love You,"Akon, Snoop Dogg",Konvicted,1,2006
2007,Crank That (Soulja Boy),Soulja Boy,souljaboytellem.com,79,2007-01-01
2007,Irreplaceable,Beyoncé,B'Day Deluxe Edition,74,2007-05-29
2007,Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",Shock Value,79,2007-04-02
2007,Party Like A Rock Star,SHOP BOYZ,Rockstar Mentality,68,2007-01-01
2007,Don't Stop The Music,Rihanna,Good Girl Gone Bad,77,2007-01-01
2007,Can't Help but Wait,Trey Songz,Trey Day,69,2007-10-01
2007,Tattoo,Jordin Sparks,Jordin Sparks,63,2007-11-20
2007,No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown",Jordin Sparks,77,2007-11-20
2007,Used to Know,H2DaHood,Coupe De Skoo Deluxe,0,2021-06-14
2007,How's It Goin' Down,DMX,The Definition Of X: Pick Of The Litter,46,2007-06-12
2007,Pop Bottles - Main,"Birdman, Lil Wayne",5 * Stunna,58,2007-01-01
2007,Still Tippin' (feat. Slim Thug and Paul Wall),"Mike Jones, Paul Wall, Slim Thug",The American Dream,49,2007
2007,We Takin' Over,DJ Khaled,We The Best,1,2007-06-12
2007,Superstar (feat. Matthew Santos),"Lupe Fiasco, Matthew Santos",Lupe Fiasco's The Cool,73,2007-01-01
2007,Can't Tell Me Nothing,Kanye West,Graduation,10,2007-09-11
2007,The Hunters,Matt Wheatley,The Hunters,2,2021-06-25
2007,With You,Chris Brown,Exclusive (Expanded Edition),81,2007-11-06
2007,X Gon' Give It To Ya,DMX,The Definition Of X: Pick Of The Litter,74,2007-06-12
2007,Stronger,Kanye West,Graduation,15,2007-09-11
2007,Refraction,Philosophos,Refraction,1,2021-04-02
2007,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",Shock Value,86,2007-01-01
2007,Who Knew,P!nk,I'm Not Dead,1,2006-04-04
2007,Same Girl (with Usher),"R. Kelly, USHER",Double Up,64,2007-05-25
2007,That Good,"Snoop Dogg, Wiz Khalifa",Mac and Devin Go To High School (Music From and Inspired By The Movie),48,2011-12-09
2007,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,79,2006-09-12
2007,Umbrella,"Rihanna, JAY-Z",Good Girl Gone Bad: Reloaded,4,2008-06-02
2007,This Dream I Got,"Dj SupaTruka ThaGrim, Addison D""savage",This Dream I Got,2,2021-04-30
2007,How to Save a Life,The Fray,How To Save A Life,86,2005-09-13
2007,Beautiful Girls,Sean Kingston,Beautiful Girls,82,2007-07-23
2007,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,The Papercut Chronicles,80,2005-02-22
2007,In a Different Light,Daneka Nation,In a Different Light,7,2020-12-17
2007,This Is Why I'm Hot,MiMS,Music Is My Savior,62,2007-01-01
2007,Thnks fr th Mmrs,Fall Out Boy,Infinity On High (Deluxe Edition),3,2007-01-01
2007,No One,Alicia Keys,As I Am (Expanded Edition),75,2007-11-09
2007,The Sweet Escape,"Gwen Stefani, Akon",The Sweet Escape (International Version),1,2006-01-01
2007,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,82,2008-06-02
2007,Bed,J. Holiday,Back Of My Lac',67,2007-01-01
2007,Coast to Coast,Troubled Spirit,Fly Away,2,2019-09-26
2007,Because Of You,Ne-Yo,Because Of You,4,2007-01-01
2007,Chasing Cars,Snow Patrol,Chasing Cars,59,2006-01-01
2007,Let It Go,"Keyshia Cole, Missy Elliott, Lil' Kim",Just Like You,69,2007-01-01
2007,Forests of Love,The Love Gamblers,The Love Gamblers,0,2021-03-30
2007,Before He Cheats,Carrie Underwood,Some Hearts,80,2005-11-14
2007,The Great Escape,BOYS LIKE GIRLS,Boys Like Girls,63,2007-08-31
2007,Ayo Technology,"50 Cent, Justin Timberlake, Timbaland",Curtis,9,2007-01-01
2007,Shortie Like Mine (feat. Chris Brown & Johntá Austin),"Bow Wow, Chris Brown, Johnta Austin",Playlist: The Very Best Of Bow Wow,49,2010-07-27
2007,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,Infinity On High (Deluxe Edition),0,2007-01-01
2007,Cyclone (feat. T-Pain),"Baby Bash, T-Pain",Cyclone (feat. T-Pain),58,2007-04-05
2007,Covid 19 Broken Cry,Gord Stroud,Covid 19 Broken Cry,0,2021-03-21
2007,Summer Love,Justin Timberlake,FutureSex/LoveSounds,74,2006-09-12
2007,Keep Holding On,Avril Lavigne,Keep Holding On,0,2006-11-27
2007,Shut Up And Drive,Rihanna,Good Girl Gone Bad: Reloaded,1,2008-06-02
2007,Sleepwalking,"F.O.M Ferro, Hunxho",Sleepwalking,0,2021-03-04
2007,Teardrops On My Guitar,Taylor Swift,Taylor Swift,0,2006-10-24
2007,Stronger,Kanye West,Stronger (Int'l ECD Maxi),6,2007-01-01
2007,Get It Shawty,Lloyd,Street Love,69,2007-01-01
2007,Say It Right - Main,Nelly Furtado,The Best of Nelly Furtado (International Version),1,2010-01-01
2007,Glamorous,"Fergie, Ludacris",The Dutchess Deluxe,0,2007-01-01
2007,Home,Daughtry,Daughtry,53,2006-11-20
2007,Dilemma,Xhey,Dilemma,3,2020-01-10
2007,Make Me Better,"Fabolous, Ne-Yo",From Nothin' To Somethin' (Bonus Track Version),64,2007-01-01
2007,Walk Away (Remember Me) (feat. The DEY),"Paula DeAnda, The DEY",Paula DeAnda,56,2006-06-01
2007,Bubbly,Colbie Caillat,Bubbly,43,2007-01-01
2007,State of Emergency,Fella Million,State of Emergency,2,2020-12-07
2007,Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,61,2007-01-02
2007,If Everyone Cared,Nickelback,All the Right Reasons (Walmart Exclusive Edition),49,2005-09-26
2007,It Ends Tonight,The All-American Rejects,Move Along,60,2005-01-01
2007,I Tried,"Bone Thugs-N-Harmony, Akon",Strength & Loyalty,0,2007
2007,Kiss Kiss (feat. T-Pain),"Chris Brown, T-Pain",Exclusive - The Forever Edition,0,2007
2007,A Bay Bay - Single Version,Hurricane Chris,A Bay Bay,0,2007-06-19
2007,Secret Safe,Hobby,Secret Safe,1,2021-04-02
2007,Last Night (feat. Keyshia Cole) - Radio Edit,"P. Diddy, Keyshia Cole",Last Night (feat. Keyshia Cole),51,2007-03-05
2007,LoveStoned / I Think She Knows (Interlude),Justin Timberlake,FutureSex/LoveSounds,60,2006-09-12
2007,Big Girls Don't Cry (Personal),Fergie,Big Girls Don't Cry (International Version),0,2007-01-01
2007,Stay Dangerous,"Dc Deon, Dc Damu",Stay Dangerous,1,2021-02-26
2007,Break It Off,"Rihanna, Sean Paul",A Girl Like Me,55,2006-04-10
2007,U + Ur Hand,P!nk,Greatest Hits...So Far!!!,37,2010-11-12
2007,First Time,Lifehouse,Who We Are,57,2007
2007,Shawty (feat. T Pain),"Plies, T-Pain",Shawty (feat. T. Pain),40,2007-06-01
2007,Promise,Ciara,Promise,35,2006-11-07
2007,My Love - Single Version,"Justin Timberlake, T.I.",My Love,0,2006-10-24
2007,Soon,Howard Clarke,Howard Clarke All the Hits,2,2021-02-16
2007,Smack That,"Akon, Eminem",Smack That,42,2006-01-01
2007,We Fly High,Jim Jones,Hustler's P.O.M.E.,0,2006-11-07
2007,Beautiful Liar,"Beyoncé, Shakira",Beautiful Liar,53,2007-03-26
2007,I'm Alive,$mr. Face$ A.K.A. David Nolan,I'm Alive,0,2020-11-30
2007,Welcome to the Black Parade,My Chemical Romance,Welcome to the Black Parade,36,2006-10-06
2007,Rock Yo Hips,Crime Mob,Rock Yo Hips,31,2004
2007,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc",Epiphany,0,2007-06-05
2007,Don't Matter,Akon,Ultimate R&B Love 2008 (International Version),0,2008-01-01
2007,Like a Boy,Ciara,Like A Boy,30,2007-03-30
2007,Girlfriend - Radio Edit,Avril Lavigne,Girlfriend EP,50,2007-02-27
2007,Soon,Howard Clarke,Howard Clarke All the Hits,2,2021-02-16
2007,Fergalicious,"Fergie, will.i.am",Let's Get It Started,0,2010-01-01
2007,"Pop, Lock & Drop It (feat. Bow Wow & T-Pain) - Remix","Huey, Bow Wow, T-Pain","Pop, Lock & Drop It (feat. Bow Wow & T-Pain) [Remix]",0,2007-05-22
2007,Bartender (feat. Akon),"T-Pain, Akon",Epiphany,0,2007-06-05
2007,Hearts Bleed Fire,Jon Omen,Hearts Bleed Fire,0,2021-02-20
2007,Never Again,Kelly Clarkson,My December,0,2007-06-14
2008,4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna, Justin Timberlake, Timbaland",Celebration (double disc version),78,2009-09-18
2008,Paper Planes,M.I.A.,Paper Planes,7,2008-10-13
2008,Blame It,"Jamie Foxx, T-Pain",Intuition,69,2008-12-11
2008,I Kissed A Girl,Katy Perry,One Of The Boys,77,2008-06-17
2008,So What,P!nk,Funhouse,0,2008-10-24
2008,Take A Bow,Rihanna,Good Girl Gone Bad: Reloaded,78,2008-06-02
2008,Miss Independent,Ne-Yo,Year Of The Gentleman,2,2008-01-01
2008,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",Some Nights,78,2012-02-21
2008,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,90,2008-06-06
2008,Love Song,Sara Bareilles,Little Voice,78,2007-07-03
2008,"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",84,2008-06-17
2008,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,6,2008-06-02
2008,No One,Alicia Keys,As I Am (Expanded Edition),75,2007-11-09
2008,Lollipop,"Lil Wayne, Static Major",Tha Carter III,75,2008-01-01
2008,Sexy Can I feat. Yung Berg,Ray J,All I Feel,1,2008-04-08
2008,Forever,Chris Brown,Forever,2,2007-11-02
2008,Hate That I Love You,"Rihanna, Ne-Yo",Good Girl Gone Bad: Reloaded,1,2008-06-02
2008,Addicted,Saving Abel,Saving Abel,74,2008-01-01
2008,Superstar (feat. Matthew Santos),"Lupe Fiasco, Matthew Santos",Lupe Fiasco's The Cool,73,2007-01-01
2008,Crush,David Archuleta,David Archuleta,69,2008-11-11
2008,A Milli,Lil Wayne,Tha Carter III,72,2008-01-01
2008,Leavin',Jesse McCartney,Departure - Recharged,65,2008
2008,Can't Help but Wait,Trey Songz,Trey Day,69,2007-10-01
2008,Pocketful of Sunshine,Natasha Bedingfield,Strip Me Away,69,2008
2008,Bleeding Love,Leona Lewis,Spirit,67,2007
2008,Say,John Mayer,Say,63,2006-10-13
2008,Mrs. Officer,"Lil Wayne, Bobby V., Kidd Kidd",Tha Carter III,71,2008-06-10
2008,Suffocate - Superclean,J. Holiday,Back Of My Lac',60,2007-01-01
2008,Cyclone (feat. T-Pain),"Baby Bash, T-Pain",Cyclone (feat. T-Pain),58,2007-04-05
2008,Closer,Ne-Yo,Year Of The Gentleman,0,2008-01-01
2008,Touch My Body,Mariah Carey,E=MC²,5,2008-01-01
2008,Our Song,Taylor Swift,Taylor Swift,0,2006-10-24
2008,Can't Believe It (feat. Lil' Wayne),"T-Pain, Lil Wayne",Can't Believe It (feat. Lil' Wayne),0,2008-07-28
2008,With You,Chris Brown,Exclusive - The Forever Edition,0,2007
2008,Teardrops On My Guitar,Taylor Swift,Taylor Swift,0,2006-10-24
2008,I'm Yours,Jason Mraz,I'm Yours,61,2008-02-12
2008,Love Lockdown,Kanye West,808s & Heartbreak (Softpak),0,2008-11-24
2008,Damaged,Danity Kane,Welcome to the Dollhouse,62,2008-03-17
2008,Like You'll Never See Me Again,Alicia Keys,As I Am,0,2007-11-09
2008,Please Don't Leave Me,P!nk,Funhouse,0,2008-10-24
2008,I Luv Your Girl,The-Dream,Love/Hate,69,2007-01-01
2008,No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown",Jordin Sparks,42,2008-04-11
2008,Bubbly,Colbie Caillat,Bubbly,43,2007-01-01
2008,So What,P!nk,Greatest Hits...So Far!!!,42,2010-11-12
2008,My Life,"The Game, Lil Wayne",LAX,0,2008-01-01
2008,Independent (feat. Lil' Boosie and Lil' Phat),"Webbie, Boosie Badazz, Lil Phat",Savage Life 2,1,2008-02-25
2008,Low (feat. T-Pain),"Flo Rida, T-Pain",Low (feat. T-Pain),55,2008-03-01
2008,Kiss Kiss (feat. T-Pain),"Chris Brown, T-Pain",Exclusive - The Forever Edition,0,2007
2008,Shadow of the Day,Linkin Park,Minutes to Midnight,53,2007-05-14
2008,Pathological,Versed In Grey,Asides To My Demons,4,2010-03-30
2008,Feels Like Tonight,Daughtry,Daughtry,49,2006-11-20
2008,Love Like This (feat. Sean Kingston),"Natasha Bedingfield, Sean Kingston",Pocketful Of Sunshine,62,2007-04-27
2008,Crank That (Soulja Boy),Soulja Boy,Crank That (Soulja Boy),0,2007-01-01
2008,The Time of My Life,David Cook,David Cook,53,2008-11-18
2008,Hot N Cold,Katy Perry,Hot N Cold,51,2008-01-01
2008,Clumsy,Fergie,The Dutchess Deluxe,0,2007-01-01
2008,The Way I Are - Radio Edit,"Timbaland, D.O.E., Keri Hilson",The Way I Are,46,2007-01-01
2008,Big Girls Don't Cry (Personal),Fergie,Big Girls Don't Cry (International Version),0,2007-01-01
2008,Let It Rock,"Kevin Rudolf, Lil Wayne",Let It Rock,46,2008-01-01
2008,She Got It,"2 Pistols, T-Pain, Tay Dizm",Death Before Dishonor,55,2008-01-01
2008,Shake It,Metro Station,Metro Station,55,2007
2008,See You Again,Miley Cyrus,Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,0,2007-01-01
2008,Got Money,"Lil Wayne, T-Pain",Tha Carter III,51,2008-01-01
2008,You The Boss,"Rick Ross, Nicki Minaj",You The Boss,56,2011-01-01
2008,It's All Your Fault,P!nk,Funhouse,0,2008-10-24
2008,Better in Time - Single Mix,Leona Lewis,Spirit,52,2007
2008,Fall For You,Secondhand Serenade,A Twist In My Story,0,2008
2008,Tattoo,Jordin Sparks,Jordin Sparks,29,2008-04-11
2008,"Lolli Lolli (Pop That Body) (feat. Project Pat, Young D & Superpower) - Explicit Album Version","Three 6 Mafia, Project Pat, Young-D, Superpower","Lolli Lolli (Pop That Body) (feat. Project Pat, Young D & Superpower)",32,2008-04-08
2008,Love In This Club,"USHER, Jeezy",Love In This Club (Main Version),0,2008-02-22
2008,Stop And Stare,OneRepublic,Stop And Stare (International Version),0,2008-01-01
2008,Hypnotized (feat. Akon),"Plies, Akon",Hypnotized (feat. Akon),32,2008-02-22
2008,Dangerous,"Kardinal Offishall, Akon",Ultimate R&B Love 2009,28,2009-01-01
2008,In the Ayer (feat. will.I.am),"Flo Rida, will.i.am",In the Ayer (feat. will.i.am),27,2008-08-08
2008,Love Remains The Same,Gavin Rossdale,Wanderlust,0,2008-01-01
2008,Whatever You Like,T.I.,Paper Trail,3,2008-09-08
2008,Sexual Eruption - Fyre Dept. Remix,"Snoop Dogg, Robyn",Sensual Seduction Remixes,24,2008-01-01
2008,Live Your Life - feat. Rihanna,"T.I., Rihanna",Live Your Life (feat. Rihanna) [International],1,2008-09-26
2008,Apologize,"Timbaland, OneRepublic",Apologize,15,2007-01-01
2008,Piece of Me,Britney Spears,Blackout,0,2007-10-15
2008,Love Story,Taylor Swift,Love Story,0,2008-09-12
2008,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded (Latin Version Package),0,2008-06-02
2008,Womanizer,Britney Spears,Womanizer,0,2008-10-03
2008,American Boy (feat. Kanye West),"Estelle, Kanye West",American Boy (feat. Kanye West),0,2008-01-29
2008,Good Life,"Kanye West, T-Pain",Graduation (Alternative Business Partners),0,2007-09-11
2008,Flashing Lights,"Kanye West, Dwele",Graduation (Alternative Business Partners),0,2007-09-11
2008,When I Grow Up,The Pussycat Dolls,When I Grow Up,0,2008-01-01
2008,Paralyzer,Finger Eleven,Them Vs. You. Vs. Me,0,2007
2008,Take You There,Sean Kingston,Sean Kingston,0,2007-09-03
2008,Sorry,Buckcherry,15,0,2006
2008,It's Not My Time,3 Doors Down,3 Doors Down (International Alt BP Version),0,2008-05-19
2008,Just A Piece,Versed In Grey,Asides To My Demons,3,2010-03-30
2008,Get Like Me,"David Banner, Chris Brown, Yung Joc",Get Like Me,26,2008-01-01
2008,Burnin' Up,Jonas Brothers,A Little Bit Longer (International Version),0,2008-09-01
2008,Damn Girl,The All-American Rejects,When The World Comes Down,35,2008-01-01
2008,Stand by Me,4 The Cause,Disco BBQ 2017,0,2017-07-07
2009,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,The Blueprint 3,3,2009-09-08
2009,Pursuit Of Happiness (Nightmare),"Kid Cudi, MGMT, Ratatat",Man On The Moon: The End Of Day,73,2009-09-15
2009,If We Ever Meet Again (Featuring Katy Perry),"Timbaland, Katy Perry",Shock Value II,72,2009-01-01
2009,Kiss Me Thru The Phone,"Soulja Boy, Sammie",iSouljaBoyTellem,82,2008-01-01
2009,Down,"Jay Sean, Lil Wayne",All Or Nothing,10,2009-01-01
2009,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",Relapse: Refill,72,2009-05-15
2009,Replay,Iyaz,Replay,71,2009-08-11
2009,Halo,Beyoncé,I AM...SASHA FIERCE,77,2008-11-17
2009,Run This Town [Jay-Z + Rihanna + Kanye West],JAY-Z,"Run This Town [Jay-Z, Rihanna, & Kanye West]",1,2009-07-24
2009,Lollipop,"Lil Wayne, Static Major",Tha Carter III,72,2008-06-10
2009,Shawty,Slum Boy,Shawty,0,2021-06-11
2009,Run This Town,"JAY-Z, Rihanna, Kanye West",The Blueprint 3,80,2009-09-08
2009,Day 'N' Nite (nightmare),Kid Cudi,Man On The Moon: The End Of Day,68,2009-09-15
2009,Just Dance,"Lady Gaga, Colby O'Donis",The Fame,86,2008-01-01
2009,Izzo (H.O.V.A.),JAY-Z,The Blueprint Collector's Edition (Explicit Version),30,2009-09-08
2009,Shots,"LMFAO, Lil Jon",Party Rock,71,2009-01-01
2009,Paparazzi,Lady Gaga,The Fame,83,2008-01-01
2009,Bloom,KOMO,Dawn,0,2021-06-07
2009,21 Guns,Green Day,21st Century Breakdown,78,2009-05-15
2009,Rockin' That Shit,The-Dream,Love Vs Money,68,2009-01-01
2009,Never Say Never,The Fray,The Fray,70,2009-02-02
2009,The Undertow,One-Trick Phony,The Undertow,1,2021-05-11
2009,If Today Was Your Last Day,Nickelback,Dark Horse,74,2008-11-14
2009,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,90,2008-06-06
2009,Carry Out (Featuring Justin Timberlake),"Timbaland, Justin Timberlake",Shock Value II,74,2009-01-01
2009,Blame It,"Jamie Foxx, T-Pain",Intuition,69,2008-12-11
2009,Single Ladies (Put a Ring on It),Beyoncé,Single Ladies (Put A Ring On It) - Dance Remixes,39,2009-02-05
2009,Birthday Sex,Jeremih,Jeremih,72,2009-01-01
2009,I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,72,2009-08-31
2009,DONTTRUSTME,3OH!3,WANT,75,2008-07-07
2009,I Can Transform Ya (feat. Swizz Beatz & Lil' Wayne),"Chris Brown, Swizz Beatz, Lil Wayne",Graffiti (Expanded Edition),58,2009-12-08
2009,Probably Gonna Hurt,Scott Kurt,Probably Gonna Hurt,4,2021-04-23
2009,I'm Yours,Jason Mraz,I'm Yours,61,2008-02-12
2009,Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element Of Freedom,73,2009-12-15
2009,BedRock,"Young Money, Lloyd",We Are Young Money,73,2009-01-01
2009,LoveGame,Lady Gaga,The Fame,78,2008-01-01
2009,Gotta Be Somebody,Nickelback,Dark Horse,71,2008-11-14
2009,Second Chance,Shinedown,The Sound of Madness,75,2008-06-23
2009,Underworld,Espectro,Underworld,1,2021-04-23
2009,Diva,Beyoncé,I AM...SASHA FIERCE,77,2008-11-14
2009,Fire Burning,Sean Kingston,Fire Burning,53,2009-04-30
2009,Untouched,The Veronicas,Hook Me Up,69,2007-10-30
2009,In a Different Light,Daneka Nation,In a Different Light,7,2020-12-17
2009,Love Drunk,BOYS LIKE GIRLS,Love Drunk,66,2009-09-07
2009,Sweet Dreams,Beyoncé,I AM...SASHA FIERCE,65,2008-11-14
2009,I Run To You,Lady A,Lady Antebellum,63,2008-01-01
2009,Right Round (feat. Ke$ha),"Flo Rida, Kesha",Right Round,63,2009-02-09
2009,Whatever It Is,Zac Brown Band,The Foundation,0,2008-11-17
2009,Pretty Wings - uncut,Maxwell,BLACKsummers'night (2009),64,2009-07-07
2009,Her Diamonds,Rob Thomas,Cradlesong,57,2009-06-22
2009,Hotel Room Service,Pitbull,Hotel Room Service,63,2009-06-11
2009,Party In The U.S.A.,Miley Cyrus,Party In The U.S.A.,58,2009-01-01
2009,Sleepwalking,"F.O.M Ferro, Hunxho",Sleepwalking,0,2021-03-04
2009,Throw It In The Bag,"Fabolous, The-Dream",Loso's Way,62,2009-01-01
2009,Then,Brad Paisley,American Saturday Night,63,2009-06-30
2009,Already Gone,Kelly Clarkson,All I Ever Wanted,43,2009-03-09
2009,Sugar (feat. Wynter),"Flo Rida, Wynter Gordon",R.O.O.T.S. (Route of Overcoming the Struggle),65,2009-03-23
2009,Every Girl,Young Money,Every Girl,54,2009-01-01
2009,Hot N Cold,Katy Perry,Hot N Cold,51,2008-01-01
2009,That's How Hearts Are Broken,Nikki Nelson,That's How Hearts Are Broken,1,2021-03-29
2009,Let It Rock,"Kevin Rudolf, Lil Wayne",Let It Rock,46,2008-01-01
2009,People Are Crazy,Billy Currington,Little Bit Of Everything,59,2008-01-01
2009,Chicken Fried,Zac Brown Band,The Foundation,4,2008-11-17
2009,Hello Darling,The Star Prairie Project,Surreal,0,2020-12-18
2009,New Divide,Linkin Park,New Divide,2,2009-05-18
2009,Waking Up In Vegas,Katy Perry,One Of The Boys,56,2008-06-17
2009,I Do Not Hook Up,Kelly Clarkson,All I Ever Wanted,47,2009-03-06
2009,Break Up,Mario,D.N.A.,52,2009-10-08
2009,So What,P!nk,Greatest Hits...So Far!!!,42,2010-11-12
2009,If I Were a Boy,Beyoncé,If I Were A Boy,47,2008-10-17
2009,Reach for the Stars,Angie,Reach for the Stars,0,2021-03-26
2009,The Climb,Miley Cyrus,Hannah Montana The Movie,39,2009-01-01
2009,Please Don't Leave Me,P!nk,Funhouse,57,2008-10-24
2009,My Life Would Suck Without You,Kelly Clarkson,My Life Would Suck Without You,40,2009-01-20
2009,March of the Praetorians,Luc,March of the Praetorians,0,2020-11-14
2009,Sober,P!nk,Funhouse (Deluxe Version),48,2008-10-24
2009,Rockin' That Thang - Album Version (Edited),The-Dream,Love Vs Money,45,2009-01-01
2009,All Of The Drugs,The Brobecks,Violent Things,40,2009-04-25
2009,Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship, Leighton Meester",Good Girls Go Bad (feat. Leighton Meester),32,2009-05-11
2009,Run Away,"Christian Reindl, Emily Sophie",Run Away,7,2019-03-01
2009,Battlefield,Jordin Sparks,Battlefield,27,2009-05-11
2009,Top of the World,"Urban Rodeo, Roxanne Dubé",Top of the World,0,2021-04-01
2009,Fire Burning,Sean Kingston,Tomorrow,78,2009-09-07
2009,Pop Champagne (feat. Juelz Santana) - Explicit Album Version,"Jim Jones, Ron Browz, Juelz Santana",Pop Champagne (feat. Juelz Santana),28,2008-10-07
2009,I Hate This Part,The Pussycat Dolls,Doll Domination,0,2008-01-01
2009,Dilemma,Xhey,Dilemma,3,2020-01-10
2009,Turnin Me On - Original Dirty,"Keri Hilson, Lil Wayne",Turnin Me On (Explicit),44,2008-01-01
2009,Psycho Heart.,Drue de Milo,Psycho Heart.,0,2019-02-14
2009,How Do You Sleep?,Jesse McCartney,Departure,21,2008-01-01
2009,Fireflies,Owl City,Ocean Eyes,1,2009-01-01
2009,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [International Version],8,2009-01-01
2009,Miss Independent,Ne-Yo,Year Of The Gentleman,2,2008-01-01
2009,State of Emergency,Fella Million,State of Emergency,2,2020-12-07
2009,Whatever You Like,T.I.,Paper Trail,3,2008-09-08
2009,You Belong With Me,Taylor Swift,Fearless,7,2008-11-11
2009,Whatcha Say,Jason Derulo,Whatcha Say,0,2009-06-09
2009,Looking For Help - Remastered,"Jason Jefferson, Q Revy, JaySol",Disingenuous Love Songs Volume 1: A Dark Paramour,0,2021-04-01
2009,Love Story,Taylor Swift,Love Story,0,2008-09-12
2009,Heartless,Kanye West,808s & Heartbreak (Softpak),1,2008-11-24
2009,Mad,Ne-Yo,Year Of The Gentleman,10,2008-01-01
2010,Replay,Iyaz,Replay,71,2009-08-11
2010,Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",Billionaire (feat. Bruno Mars),74,2010-03-09
2010,In My Head,Jason Derulo,Jason Derulo (International),71,2010-02-26
2010,Paparazzi,Lady Gaga,The Fame,83,2008-01-01
2010,Bottoms Up (feat. Nicki Minaj),"Trey Songz, Nicki Minaj","Passion, Pain & Pleasure",5,2010-09-13
2010,Breakeven,The Script,The Script,71,2008-07-14
